service_id,date,exception_type
SASUHO,20250101,1
SASUHO,20230402,1
SASUHO,20230404,1
SASUHO,20230425,1
SASUHO,20230501,1
SASUHO,20230608,1
SASUHO,20230610,1
SASUHO,20230613,1
SASUHO,20230815,1
SASUHO,20251005,1
SASUHO,20251101,1
SASUHO,20251201,1
SASUHO,20251208,1
SASUHO,20251225,1
WKDY,20250101,2
WKDY,20230402,2
WKDY,20230404,2
WKDY,20230425,2
WKDY,20230501,2
WKDY,20230608,2
WKDY,20230610,2
WKDY,20230613,2
WKDY,20230815,2
WKDY,20251005,2
WKDY,20251101,2
WKDY,20251201,2
WKDY,20251208,2
WKDY,20251225,2

