route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
A,WKDY,A_WKDY_11,Reboleira,1,,
A,WKDY,A_WKDY_01,Santa Apolónia,0,,
A,WKDY,A_WKDY_12,Reboleira,1,,
A,WKDY,A_WKDY_02,Santa Apolónia,0,,
A,WKDY,A_WKDY_13,Reboleira,1,,
A,WKDY,A_WKDY_03,Santa Apolónia,0,,
A,WKDY,A_WKDY_14,Reboleira,1,,
A,WKDY,A_WKDY_04,Santa Apolónia,0,,
A,WKDY,A_WKDY_15,Reboleira,1,,
A,WKDY,A_WKDY_05,Santa Apolónia,0,,
A,WKDY,A_WKDY_16,Reboleira,1,,
A,WKDY,A_WKDY_06,Santa Apolónia,0,,
A,WKDY,A_WKDY_17,Reboleira,1,,
A,WKDY,A_WKDY_07,Santa Apolónia,0,,
A,WKDY,A_WKDY_18,Reboleira,1,,
A,WKDY,A_WKDY_08,Santa Apolónia,0,,
A,WKDY,A_WKDY_19,Reboleira,1,,
A,WKDY,A_WKDY_09,Santa Apolónia,0,,
A,WKDY,A_WKDY_110,Reboleira,1,,
A,WKDY,A_WKDY_010,Santa Apolónia,0,,
A,WKDY,A_WKDY_111,Reboleira,1,,
A,WKDY,A_WKDY_011,Santa Apolónia,0,,
A,WKDY,A_WKDY_112,Reboleira,1,,
A,WKDY,A_WKDY_012,Santa Apolónia,0,,
A,WKDY,A_WKDY_113,Reboleira,1,,
A,WKDY,A_WKDY_013,Santa Apolónia,0,,
A,WKDY,A_WKDY_114,Reboleira,1,,
A,WKDY,A_WKDY_014,Santa Apolónia,0,,
A,WKDY,A_WKDY_115,Reboleira,1,,
A,WKDY,A_WKDY_015,Santa Apolónia,0,,
A,WKDY,A_WKDY_116,Reboleira,1,,
A,WKDY,A_WKDY_016,Santa Apolónia,0,,
A,WKDY,A_WKDY_117,Reboleira,1,,
A,WKDY,A_WKDY_017,Santa Apolónia,0,,
A,WKDY,A_WKDY_118,Reboleira,1,,
A,WKDY,A_WKDY_018,Santa Apolónia,0,,
A,WKDY,A_WKDY_119,Reboleira,1,,
A,WKDY,A_WKDY_019,Santa Apolónia,0,,
A,WKDY,A_WKDY_120,Reboleira,1,,
A,WKDY,A_WKDY_020,Santa Apolónia,0,,
A,WKDY,A_WKDY_121,Reboleira,1,,
A,WKDY,A_WKDY_021,Santa Apolónia,0,,
A,WKDY,A_WKDY_122,Reboleira,1,,
A,WKDY,A_WKDY_022,Santa Apolónia,0,,
A,WKDY,A_WKDY_123,Reboleira,1,,
A,WKDY,A_WKDY_023,Santa Apolónia,0,,
A,WKDY,A_WKDY_124,Reboleira,1,,
A,WKDY,A_WKDY_024,Santa Apolónia,0,,
A,WKDY,A_WKDY_125,Reboleira,1,,
A,WKDY,A_WKDY_025,Santa Apolónia,0,,
A,WKDY,A_WKDY_126,Reboleira,1,,
A,WKDY,A_WKDY_026,Santa Apolónia,0,,
A,WKDY,A_WKDY_127,Reboleira,1,,
A,WKDY,A_WKDY_027,Santa Apolónia,0,,
A,WKDY,A_WKDY_128,Reboleira,1,,
A,WKDY,A_WKDY_028,Santa Apolónia,0,,
A,WKDY,A_WKDY_129,Reboleira,1,,
A,WKDY,A_WKDY_029,Santa Apolónia,0,,
A,WKDY,A_WKDY_130,Reboleira,1,,
A,WKDY,A_WKDY_030,Santa Apolónia,0,,
A,WKDY,A_WKDY_131,Reboleira,1,,
A,WKDY,A_WKDY_031,Santa Apolónia,0,,
A,WKDY,A_WKDY_132,Reboleira,1,,
