stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
AM,Alameda,,38.737256,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,1,
AM1,Alameda,,38.737256,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AM2,Alameda,,38.737256,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AM3,Alameda,,38.737256,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AM4,Alameda,,38.737256,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AF,Alfornelos,,38.760617,-9.204708,1,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alfornelos/,,
AH,Alto dos Moinhos,,38.749582,-9.179946,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alto-dos-moinhos/,,
AL,Alvalade,,38.753458,-9.143883,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alvalade/,,
AS,Amadora Este,,38.758375,-9.219171,1,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/amadora-este/,,
AX,Ameixoeira,,38.779903,-9.159986,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/ameixoeira/,,
AN,Anjos,,38.726614,-9.135025,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/anjos/,,
AE,Areeiro,,38.742599,-9.133807,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/areeiro/,,
AR,Arroios,,38.733473,-9.134451,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/arroios/,,
